time,open,high,low,close,vwap,volume,count
1738792800,0.071435,0.07153,0.07119,0.07119,63.70148594,15,
1738793700,0.07117,0.071488,0.07112,0.071282,28.51436884,49,
1738794600,0.071281,0.07158,0.071149,0.071149,334.95828577,28,
1738795500,0.071118,0.071302,0.070947,0.071158,1425.65142268,28,
1738796400,0.070944,0.07095,0.070643,0.07095,70.31461233,17,
1738797300,0.071016,0.071016,0.070851,0.070851,20.72191662,3,
1738798200,0.070675,0.070869,0.070384,0.070394,45.35433774,15,
1738799100,0.070386,0.070413,0.07025,0.07025,245.78554396,35,
1738800000,0.070611,0.07078,0.070611,0.07078,14.44341176,7,
1738800900,0.070835,0.071177,0.070835,0.071177,4.78251651,16,
1738801800,0.071089,0.071372,0.071089,0.071286,2.55724413,5,
1738802700,0.071216,0.071279,0.071207,0.071207,11.07882,3,
1738803600,0.071413,0.071413,0.071413,0.071413,0.16164,1,
1738804500,0.071423,0.071423,0.071062,0.071062,2.71596775,4,
1738805400,0.071212,0.071454,0.071212,0.071454,11.95010828,4,
1738806300,0.071407,0.071456,0.071407,0.071456,1.84055039,2,
1738807200,0.07149,0.071503,0.071424,0.071503,4.72953647,7,
1738809900,0.071372,0.071372,0.071304,0.071304,1.63450275,4,
1738810800,0.071436,0.071505,0.071436,0.071505,6.04705652,3,
1738811700,0.071351,0.071427,0.071351,0.071427,0.54241,2,
1738812600,0.071351,0.071368,0.071351,0.071368,110.46653,3,
1738813500,0.071399,0.071552,0.071399,0.071552,7.14374,3,
1738814400,0.07146,0.07146,0.071345,0.071396,1.75081092,3,
1738815300,0.071494,0.071494,0.071494,0.071494,1.22734458,1,
1738816200,0.07125,0.07125,0.07125,0.07125,4.0,1,
1738817100,0.07133,0.07133,0.07133,0.07133,0.36842,1,
1738818000,0.071209,0.071235,0.071005,0.071044,8.79858147,5,
1738818900,0.071095,0.071338,0.071001,0.071338,21.79834353,7,
1738819800,0.071338,0.071397,0.071338,0.071397,9.9463591,2,
1738820700,0.071361,0.071361,0.07122,0.071225,12.1502958,5,
1738821600,0.071422,0.071422,0.071313,0.071395,25.95554873,3,
1738822500,0.071496,0.071496,0.07147,0.07147,1.72325497,2,
1738823400,0.071411,0.071443,0.07115,0.071443,3.43765,6,
1738824300,0.071498,0.07166,0.07135,0.07135,4.43499272,7,
1738825200,0.071405,0.071405,0.071305,0.071305,1.91302,2,
1738826100,0.071372,0.071372,0.071282,0.071282,14.04977762,5,
1738827000,0.071383,0.071383,0.071223,0.071223,3.82224507,4,
1738827900,0.071367,0.071417,0.071367,0.071417,142.72950184,6,
1738828800,0.071401,0.071401,0.071401,0.071401,0.13,1,
1738829700,0.071095,0.071128,0.071083,0.071083,9.81929988,6,
1738830600,0.071112,0.071454,0.071111,0.071454,351.08334123,14,
1738831500,0.071068,0.071164,0.071054,0.071054,2.20657,4,
1738832400,0.071174,0.071174,0.071174,0.071174,0.46874,1,
1738833300,0.071197,0.071262,0.071098,0.071262,91.74623,4,
1738834200,0.071235,0.071235,0.070998,0.070998,0.39383326,2,
1738835100,0.071094,0.071094,0.071094,0.071094,0.21,1,
1738836000,0.071061,0.071061,0.07106,0.07106,0.54404329,2,
1738837800,0.07133,0.07133,0.071224,0.071224,89.0,8,
1738838700,0.07126,0.07126,0.071195,0.071195,1.17681424,2,
1738840500,0.071188,0.071188,0.071035,0.071035,1.99418273,3,
1738841400,0.071067,0.071196,0.071,0.071196,14.60767,4,
1738842300,0.071366,0.071366,0.071366,0.071366,0.52978,1,
1738843200,0.071333,0.071333,0.071333,0.071333,0.19099,1,
1738844100,0.071455,0.071455,0.071455,0.071455,1.41112277,1,
1738845000,0.071282,0.071635,0.07125,0.071635,37.49203163,9,
1738845900,0.071571,0.071571,0.071468,0.071468,16.04466421,4,
1738846800,0.071502,0.071531,0.071474,0.07148,36.40947,4,
1738847700,0.071537,0.071616,0.071453,0.071453,24.56042,3,
1738848600,0.071539,0.071578,0.071524,0.071578,0.49060701,4,
1738849500,0.071579,0.07167,0.071579,0.07167,1.30191571,4,
1738850400,0.071693,0.071697,0.071466,0.071466,0.70985319,3,
1738851300,0.071695,0.072105,0.071647,0.071647,19.14449686,19,
